provider,api_type,url,access,collection_id,collection_title,collection_assets,notes,product_count,theme_labels,theme_scores
stac.terrascope.be,stac,https://stac.terrascope.be,public,climtag-precipitation-annual,CLIMTAG Precipitation Annual,[],CLIMTAG annual precipitation product.,,"['climate', 'agriculture', 'precipitation', 'annual']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,climtag-precipitation-dekadal,CLIMTAG Precipitation Dekadal,[],CLIMTAG dekadal precipitation product.,,"['climate', 'agriculture', 'precipitation', 'dekadal']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,cop-dem-glo-30m-cog,Copernicus Global 30 meter Digital Elevation Model dataset in COG format,['thumbnail'],"The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. GLO-30 provides worldwide coverage at 30 meters (refers to 10 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters. The Copernicus DEM GLO-30 is distributed by OpenTopography and cor",,"['vito', 'terrascope', 'copernicus', 'esa', 'radar', 'dem', 'dsm', 'elevation', 'tandem-x', 'terrasar-x', 'tdx', 'tsx']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,cop-dem-glo-90m-cog,Copernicus Global 90 meter Digital Elevation Model dataset in COG format,['thumbnail'],"The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. GLO-90 provides worldwide coverage at 90 meters (refers to 30 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters. The Copernicus DEM GLO-90 is distributed by OpenTopography and cor",,"['vito', 'terrascope', 'copernicus', 'esa', 'radar', 'dem', 'dsm', 'elevation', 'tandem-x', 'terrasar-x', 'tdx', 'tsx']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,corsa-majorTom-Flanders,,[],CORSA embeddings for the Major-Tom Flanders S2 images with 10 bands (excluding 60m bands),,"['CORSA', 'corsa', 'Major-Tom', 'Major Tom', 'embeddings']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,cropsar2d-fapar-nrt,CropSAR-2D Near Real Time Fraction Absorbed Photosynthetically Radiation (FAPAR),['thumbnail'],"The CropSAR-2D Near Real Time collection is the Sentinel-2 data cloud-free with a regularity of five-day intervals.The collection currently offers only FAPAR products.FAPAR corresponds to the fraction of photosynthetically active radiation absorbed by the canopy. The FAPAR value results directly from the radiative transfer model in the canopy which is computed instantaneously. It depends on canopy structure, vegetation element optical properties and illumination conditions. FAPAR is very useful ",,"['FAPAR', 'CropSAR-2D', 'Sentinel-2', 'Sentinel-1', 'VITO', 'openEO', 'Copernicus Data Space Ecosystem', 'Earth Observation', 'Remote Sensing', 'Vegetation Index']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,esa-worldcereal-activecropland-10m-2021-v1,ESA WorldCereal products for active cropland per agro-ecological zone - V1,['thumbnail'],"The WorldCereal active cropland products provide binary maps for all growing seasons as defined by the WorldCereal global crop calendars, showing where active cropland has been detected. Seasonal active cropland is defined by the WorldCereal system as actively cultivated cropland during a specific growing season. In order for a pixel to be labeled as active during a particular growing season, a full crop growth cycle (sowing, growing, senescence and harvesting) needs to take place within the des",,"['vito', 'copernicus', 'esa', 'land cover', 'environment', 'worldcereal', 'agriculture', 'cropland', 'sentinel-2']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,esa-worldcereal-irrigation-10m-2021-v1,ESA WorldCereal products for active irrigation per agro-ecological zone - V1,['thumbnail'],"The WorldCereal active irrigation products provide binary maps for all growing seasons as defined by the WorldCereal global crop calendars, showing where active irrigation has been detected. Seasonally actively irrigated cropland is defined by the WorldCereal system as a piece of land that is extensively irrigated during a specific growing season where, without irrigation applied at regular intervals, crop growth would be significantly reduced or impossible. Incidental irrigation, such as irriga",,"['vito', 'copernicus', 'esa', 'land cover', 'environment', 'worldcereal', 'agriculture', 'landsat-8', 'tir', 'sentinel-2', 'irrigation']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,esa-worldcereal-maize-10m-2021-v1,ESA WorldCereal products for maize per agro-ecological zone - V1,['thumbnail'],"The WorldCereal maize products provide binary maps for the maize growing seasons as defined by the WorldCereal global crop calendars, showing where maize is grown. The WorldCereal maize products were generated within the respective annual temporary crops mask.",,"['vito', 'copernicus', 'esa', 'land cover', 'environment', 'worldcereal', 'agriculture', 'sentinel-1', 'sentinel-2', 'maize']",{}
stac.terrascope.be,stac,https://stac.terrascope.be,public,esa-worldcereal-springcereals-10m-2021-v1,ESA WorldCereal products for springcereals per agro-ecological zone - V1,['thumbnail'],"The WorldCereal spring cereals products provide binary maps for the spring cereals growing season as defined by the WorldCereal global crop calendars, showing where spring cereals are grown. This season describes the spring cereals season in northern latitudes. Spring cereals include wheat, barley and rye, which belong to the Triticeae tribe. These crops were grouped together because their spectral signatures and growing seasons were too similar to reliably distinguish them at a global scale. Th",,"['vito', 'copernicus', 'esa', 'land cover', 'environment', 'worldcereal', 'agriculture', 'sentinel-1', 'sentinel-2', 'springcereals']",{}
